dont,feel,help,im,just,know,life,like,people,really,things,think,time,want,youre
0.0,0.2836125359770564,0.0,0.0,0.2603968290362659,0.5401115810018712,0.0,0.0,0.0,0.306894270676047,0.6124996505609227,0.0,0.30115940234557564,0.0,0.0
0.18817855256160684,0.15309759614834376,0.11376191004009054,0.07408519524320843,0.39826882320097595,0.12148291273867466,0.45741208895396984,0.30498727559706024,0.3393094722064118,0.05522178929824985,0.27552914700899,0.1904592654130132,0.3793290998041615,0.026426756341554256,0.26858892954862684
0.35718406666042424,0.1549847808372969,0.4318658115501653,0.0,0.21344725828080582,0.29515294421270855,0.07717507670746455,0.20583117025026743,0.3170695667375753,0.0,0.50206591068731,0.0,0.2468603361033886,0.16051506266112228,0.20392480399112609
0.11947161798652754,0.25919804742470076,0.0,0.501712330780449,0.237980840336493,0.3702124803074955,0.1936025177861768,0.4302925514668633,0.19885132951163442,0.35059449792574626,0.06997165733822937,0.0,0.2064258076145423,0.2013352082019599,0.0
0.36430741699676505,0.19759456835711828,0.0,0.0,0.18142004498399783,0.0,0.39357092709503544,0.5248401942477009,0.0,0.4276301873370775,0.42673220933105044,0.0,0.0,0.0,0.0
0.15586049936348895,0.19725128340486942,0.09422427724109504,0.3408983226262592,0.09055243017557764,0.20123852783257168,0.07015842295323556,0.636198745924087,0.1441210149560004,0.4116412834909834,0.060855834146076884,0.1802851649538363,0.11968860144746189,0.23347399988690676,0.24099950705958487
0.5272246948522228,0.1906388783138855,0.07082881596610435,0.30750577575247046,0.35006745546665285,0.15127191282849622,0.25314434063035535,0.4219707165929081,0.2275064813710318,0.06876280382680566,0.13723681847409272,0.20328176257474317,0.16869461963617516,0.09872069803525978,0.20903125500033928
0.3167107033011943,0.24251133925016136,0.22525299101321972,0.25426536710087644,0.4453201162531741,0.09621635024145087,0.28177136222806154,0.4294304897736816,0.3307549074586022,0.21868256614448606,0.06546700678976757,0.21549527271646587,0.021459609128053513,0.1674432057370314,0.13295412258933226
0.34876652866076463,0.06305514562055178,0.0,0.12205162959870694,0.28946816327152686,0.24016437971680177,0.6907664405697445,0.3349674553401282,0.0,0.0,0.1361761197388695,0.0,0.2678252553890613,0.19591537818828306,0.0
0.21184158498942646,0.22979903561197715,0.25613443196644325,0.6672099437871616,0.0,0.2188145880250002,0.0,0.0,0.2350626953968245,0.2486632235533549,0.0,0.0,0.0,0.47599779025329136,0.0
0.6034638529820538,0.3273092283766796,0.0,0.0,0.0,0.31166377079561164,0.0,0.4346906912183173,0.0,0.0,0.0,0.3490158851115329,0.34755957193685766,0.0,0.0
0.0,0.20511126271581914,0.0,0.39702015778637345,0.0,0.5859206893222095,0.0,0.27240281922021675,0.20980943693618234,0.0,0.0,0.0,0.21780132207851205,0.0,0.5397597598903092
0.0,0.0,0.0,0.0,0.0,0.0,0.6779677820657557,0.0,0.0,0.0,0.7350916177462781,0.0,0.0,0.0,0.0
